Board,Grade,Subject,Chapter,Topic,Type,Difficulty,Marks,QuestionText_EN,QuestionText_UR,OptionA_EN,OptionB_EN,OptionC_EN,OptionD_EN,OptionA_UR,OptionB_UR,OptionC_UR,OptionD_UR,CorrectAnswer,Sources,ImageURL
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of functions of living parts is called:","جسمانی حصوں کے افعال کا مطالعہ کہلاتا ہے:","History","Morphology","Anatomy","Physiology","ہسٹولوجی","مارفولوجی","ایناٹومی","فزیالوجی","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Meaning of ""logos"" is:","لوگوس کا معنی ہے:","Activity","Structure","Thinking","Physiology","سرگرمی","ساخت","سوچنا","فزیالوجی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of immune system of animals is called:","جانوروں کے مدافعتی نظام کا مطالعہ کہلاتا ہے:","Parasitology","Immunology","Pathology","Pharmacology","پیراسائٹولوجی","امیونا لوجی","پیتھا لوجی","فارماکولوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of fossils is called:","فوسلز کے مطالعہ کو کہا جاتا ہے:","Genetics","Palaeontology","Embryology","Pharmacology","جینیٹکس","پیلےانٹولوجی","ایمبریولوجی","فارماکولوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Study of drugs and their effects on human body is called:","ادویات اور جسم پر ان کے اثرات کا مطالعہ کہلاتا ہے:","Pharmacology","Parasitology","Pathology","Marine biology","فارماکولوجی","پیرا سائٹولوجی","پیتھا لوجی","میرین بائیو لوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of biological molecules of life is called:","زندگی کے بائیو لوجیکل مالیکیولز کا مطالعہ کہلاتا ہے:","Anatomy","Immunology","Physiology","Molecular biology","ایناٹومی","امیونا لوجی","فزیالوجی","مالیکیولر بائیو لوجی","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Relationships between organism and their environment is called:","جانداروں اور ان کے ماحول کے مابین تعلقات کہلاتے ہیں:","Taxonomy","Ecology","Pharmacology","Pathology","ٹیکسانومی","ایکا لوجی","فارماکولوجی","پیتھا لوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Coral reef support a wide variety of:","کورل ریف وسیع اقسام کی حمایت کرتا ہے:","Marine biology","Histology","Both","None of these","میرین بائیو لوجی","ہسٹولوجی","دونوں","ان میں کوئی نہیں","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of functions of various organs of an organism is:","جانداروں کے مختلف اعضاء کے افعال کا مطالعہ ہے:","Morphology","Histology","Anatomy","Physiology","مارفولوجی","ہسٹولوجی","ایناٹومی","فزیالوجی","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Histology is the microscopic study of:","ہسٹولوجی کا مائیکروسکوپک مطالعہ ہے:","Tissues","Cells","Fossils","Plants","ٹشوز","سیلز","فوسلز","پودے","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Palaeontology is the study of:","پیلےانٹولوجی مطالعہ ہے:","Environment","Development","Fossils","Animals","ماحول","نشوونما","فوسلز","جانوروں","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The other name of environmental biology is:","ماحولیاتی بائیو لوجی کا دوسرا نام ہے:","Ecology","Biotechnology","Microbiology","Cell biology","ایکالوجی","بائیو ٹیکنالوجی","مائیکرو بائیو لوجی","سیل بائیو لوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Microbiology is the study of:","مائیکرو بائیو لوجی مطالعہ ہے:","Fungi","Animals","Plants","Microorganisms","فنجائی","جانور","پودے","مائیکرو آ رگنزمز","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Biology is a word of which language?","بائیولوجی کس زبان کا لفظ ہے؟","Latin","Arabic","Greek","English","لاطینی","عربی","یونانی","انگریزی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of plants is called:","پودوں کا مطالعہ کہلاتا ہے:","Biology","Zoology","Botany","Microbiology","بائیو لوجی","ذو لوجی","باٹنی","مائیکرو بائیو لوجی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Match anatomy with one of the following:","ایناٹومی کو درج ذیل میں سے کسی ایک کے ساتھ جوڑیں:","Physiology","Morphology","Embryology","Genetics","فزیالوجی","مارفولوجی","ایمبریولوجی","جینیٹکس","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Biology is the scientific study of:","بائیو لوجی سائنسی مطالعہ ہے:","Earth","Water","Life","Non-living things","زمین","پانی","زندگی","بے جان اشیاء","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The branch deal with the study of form and structure of living organisms is called:","جانداروں کی شکل اور ساخت کا مطالعہ کرنے والی شاخ کو کہا جاتا ہے:","Cell biology","Physiology","Morphology","Genetics","سیل بائیولوجی","فزیالوجی","مارفولوجی","جینیٹکس","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The branch deals with the study of the interrelationship of organisms and their environment is called:","یہ شاخ جانداروں اور ان کے ماحول کے باہمی تعلق کے مطالعہ سے متعلق ہے کہلاتی ہے:","Ecology","Molecular biology","Entomology","Environmental biology","ایکالوجی","مالیکیولر بائیو لوجی","اینٹا مولوجی","انوائرمنٹل بائیو لوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","How many major division biology is divided?","بائیو لوجی کو کتنے بڑے شعبوں میں تقسیم کیا جاتا ہے؟","Two","Three","Four","Five","دو","تین","چار","پانچ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Mr. Nauman was busy in dissecting and analyzing the heart of frog. probably he is a:","مسٹر نعمان مینڈک کے دل کا پتہ لگانے اور تجزیہ کرنے میں مصروف تھے۔ شاید وہ ایک ہے:","Cell biologist","Taxonomist","Histologist","Palaeontologist","سیل بائیو لوجسٹ","ٹیکسانومیسٹ","ہسٹولوجسٹ","پیلےانٹولوجسٹ","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Being a biology research worker, you are studying ""Markhor"" which branch of biology it will be:","بائیولوجی کے تحقیقی کارکن ہونے کے ناطے، آپ ""مارخور"" پڑھ رہے ہیں یہ بائیو لوجی کی کون سی شاخ ہے:","Botany","Zoology","Palaeontology","Parasitology","باٹنی","ذو لوجی","پیلےانٹولوجی","پیرا سائٹولوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Which of the following profession deals with the diagnosis and treatment of diseases in human?","مندرجہ ذیل میں سے کون سا پیشہ انسان میں بیماریوں کے اختراع اور علاج سے متعلق ہے؟","Medicine","Surgery","Biotechnology","Farming","میڈیسن","سرجری","بائیوٹیکنالوجی","فارمنگ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Study of insects is called:","کیڑوں کا مطالعہ کہلاتا ہے:","Immunology","Entomology","Genetics","Ecology","امیونا لوجی","اینٹا مولوجی","جینیٹکس","ایکا لوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The study of how living things interact with each other and their environment is known as:","جاندار چیزیں ایک دوسرے اور ان کے ماحول کے ساتھ کس طرح تفاعل کرتی ہیں اس کا مطالعہ جانا جاتا ہے:","Physiology","Anatomy","Ecology","Genetics","فزیالوجی","ایناٹومی","ایکا لوجی","جینیٹکس","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The Fossils are studied in the following branch of biology:","فوسلز کا مطالعہ بیالوجی کی کس شاخ میں کیا جاتا ہے؟","Taxonomy","Physiology","Palaeontology","Zoology","ٹیکسالوجی","فزیالوجی","پیلے انٹولوجی","ذولوجی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The branch of biology which deals with functioning of body parts is:","بیالوجی کی وہ شاخ جو جسمانی اعضاء کے افعال کے مطالعہ سے متعلق ہے:","Physiology","Embryology","Histology","Morphology","فزیالوجی","ایمبریولوجی","ہسٹولوجی","امیونولوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","Animal and plant structure are studied in:","جانوروں اور پودوں کی ساخت کا مطالعہ کیا جاتا ہے:","Anatomy","Physiology","Morphology","None of these","ایناٹومی","فزیالوجی","مارفولوجی","ان میں سے کوئی نہیں","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The knowledge of in heritance is called:","جانداروں میں وراثت کے علم کو کہتے ہیں:","Molecular biology","Genetics","Histology","Immunology","مالیکیولربائیولوجی","جینیٹکس","امیونولوجی","بائیوکیمسٹری","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.1 BIOLOGY AND ITS BRANCHES","MCQ","Medium","1","The branch in which scientists use living organisms for the welfare of mankind is called:","وہ شاخ جس میں سائنس دان انسانوں کی فلاح کے لیے جانداروں کا استعمال کرتے ہیں:","Biotechnology","Genetics","Immunology","Biochemistry","بائیوٹیکنالوجی","جینیٹکس","امیونولوجی","بائیوکیمسٹری","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Insulin made through bacteria is an example of the technique of:","بیکٹیریا کے ذریعے بنائی گئی انسولین کس تکنیک کی مثال ہے؟","Parasitology","Biotechnology","Biochemistry","Histology","پیراسائٹالوجی","بائیوٹیکنالوجی","بائیو کیمسٹری","ہسٹالوجی","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Study of structure and reaction of different chemical substances present in living systems is called:","نظام زندگی میں موجود مختلف کیمیائی مادوں کی ساخت اور رد عمل کا مطالعہ کہلاتا ہے:","Biochemistry","Biotechnology","Biophysics","Computational biology","بائیو کیمسٹری","بائیو ٹیکنالوجی","بائیو فزکس","کمپیوٹیشنل بیالوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","The influence of climate change on the distribution of organisms is studied in:","جانداروں کی تقسیم پر موسمیاتی تبدیلی کے اثرات کا مطالعہ کیا جاتا ہے۔","Biophysics","Biochemistry","Biogeography","Biotechnology","بائیو فزکس","بائیو کیمسٹری","بائیوجیوگرافی","بائیو ٹیکنالوجی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Which of the following plays a crucial role in biological research, health care and public health etc:","مندرجہ ذیل میں سے بائیو لوجیکل تحقیق ، صحت اور عوامی صحت جیسے شعبوں میں اہم کردار ادا کرتی ہے:","Biogeography","Biotechnology","Biostatistics","Biochemistry","بائیو جیو گرافی","بائیو ٹیکنالوجی","بائیو سٹیٹسٹکس","بائیو کیمسٹری","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Scientists use mathematical models in:","سائنس دان ریاضی کے ماڈلز استعمال کرتے ہیں:","Computational biology","Biostatistics","Biogeography","Biotechnology","کمپیوٹیشنل بائیولوجی","بائیو سٹیٹسٹکس","بائیو جیوگرافی","بائیو ٹیکنالوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","The study of chemical reactions of photosynthesis and respiration are the examples of:","فوٹو سینتھی سیز اور ریسپیریشن کے کیمیکل ری ایکشن کا مطالعہ اس کی مثالیں ہیں:","Biochemistry","Biophysics","Biogeography","Biostatistics","بائیو کیمسٹری","بائیو فزکس","بائیو جیو گرافی","بائیو سٹیٹسٹکس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Production of new variety of crops is an example of:","فصلوں کی نئی اقسام کی پیداوار اس کی مثال ہے:","Bio economics","Biotechnology","Biostatistics","Computational biology","بائیو اکنامکس","بائیو ٹیکنالوجی","بائیو سٹیٹسٹکس","کمپیوٹیشنل بائیو لوجی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Production of insulin is an example of:","انسولین کی تیاری مثال ہے:","Biostatistics","Biotechnology","Biophysics","Biogeography","بائیو سٹیٹسٹکس","بائیو ٹیکنالوجی","بائیو فزکس","بائیو جیو گرافی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Distribution of living organisms in different geographical regions:","مختلف جغرافیائی خطوں میں جانداروں کی تقسیم کہلاتی ہے:","Biochemistry","Biophysics","Biostatistics","Biogeography","بائیو کیمسٹری","بائیو فزکس","بائیو سٹیٹسٹکس","بائیو جیو گرافی","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Principles of statistics to analyze and interpret data related to living organisms:","جانداروں سے متعلق ڈیٹا کا تجزیہ اور تشریح کرنے کے لیے سٹیٹسٹکس کے اصول:","Biophysics","Biochemistry","Biostatistics","Biotechnology","بائیو فزکس","بائیو کیمسٹری","بائیو سٹیٹسٹکس","بائیو ٹیکنالوجی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","The study of occurrence and distribution of different species of living organisms in different geographical regions of the world is called:","دنیا کے مختلف جغرافیائی خطوں میں جانداروں کی مختلف انواع کی موجودگی اور تقسیم کا مطالعہ کہلاتا ہے:","Histology","Microbiology","Biogeography","Parasitology","ہسٹولوجی","مائیکرو بائیو لوجی","بائیو جیو گرافی","پیرا سائٹولوجی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","How many peoples get lungs cancer by smoking? This question can be answered through:","تمباکو نوشی سے کتنے لوگوں کو پھیپھڑوں کا کینسر ہوتا ہے؟ اس سوال کا جواب اس کے ذریعے دیا جا سکتا ہے:","Biostatistics","Biophysics","Bioeconomics","Biogeography","بائیو سٹیٹسٹکس","بائیو فزکس","بائیو اکنامکس","بائیو جیو گرافی","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","The number of plants in desert are scare. This could be the statement of:","صحرا میں پودوں کی تعداد خوفناک ہے۔ یہ کس کا بیان ہو سکتا ہے:","Social biologist","Taxonomist","Biogeographist","Palaeontologist","سوشل بائیو لوجسٹ","ٹیکسانومسٹ","بائیو جیو گرافیسٹ","پیلےانٹولوجسٹ","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Which of the following best describes the field of biotechnology:","مندرجہ ذیل میں سے بائیو ٹیکنالوجی کے شعبے کی بہترین وضاحت کرتا ہے:","Study of diseases","Study of marine life","Use of biology processes to develop technologies","Management of forest resources","بیماریوں کا مطالعہ","میرین لائف کا مطالعہ","ٹیکنالوجی کی تیاری کے لیے بائیو لوجیکل پروسیس کا استعمال","جنگلاتی وسائل کا انتظام","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","The oldest known fossil is a cyano bacterium estimated to be years old:","سب سے قدیم معلوم فوسل ایک سائینوبیکٹیریم ہے جس کا تخمینہ سالوں پرانا ہے:","2.4 billion","1.4 billion","3.5 billion","4 billion","2.4بلین","1.4بلین","3.5بلین","4بلین","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Which of the following study the rules of lever and motion for understanding the function of muscles, bones and joints:","مسلز،ہڈیوں اور جوڑوں کے افعال کو سمجھنے کے لیے لیور اور حرکت کے اصولوں کا مطالعہ کرتے ہیں:","Biophysics","Biochemistry","Morphology","Anatomy","بائیوفزکس میں","بائیوکیمسٹری میں","مارفولوجی میں","ایناٹومی میں","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.2 Relation of Biology With Other Sciences","MCQ","Medium","1","Which technology is beneficial products or processes for various fields, healthcare, agriculture, and environmental management:","کون سی ٹیکنالوجی صحت، زراعت اور ماحولیاتی انتظام جیسے شعبوں میں کام آتی ہے:","Biochemistry","Biotechnology","Biophysics","Biostatistics","بائیوکیمسٹری","بائیوٹیکنالوجی","بائیوفزکس","بائیو سٹیٹسٹکس","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","The profession deals with diagnosis and treatment of diseases:","یہ پیشہ بیماریوں کی تشخیص اور علاج سے متعلق ہے:","Medicine","Surgery","Both A and B","Dentistry","میڈیسن","سرجری","الف اور ب دونوں","ڈینٹسٹری","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","Providing support to people on genetic conditions and testing:","جینیاتی حالات اور جانچ پر لوگوں کو مدد فراہم کرنا:","Veterinary medicine","Microbiology","Genetic counseling","Biomedical engineering","وٹرنری میڈیسن","مائیکرو بائیو لوجی","جینیٹک کاؤنسلنگ","بائیو میڈیکل انجینئرنگ","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","Cultivate fruit, vegetables, flower and ornamental plants are:","پھل، سبزیاں، پھول اور آرائشی پودے کاشت کرتے ہیں:","Physiotherapist","Pharmacologist","Horticulturist","Biotechnologist","فزیاتھرایپسٹ","فارماکولوجسٹ","ہورٹیکلچریسٹ","بائیو ٹیکنالوجسٹ","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","Breeding and caring for livestock to improve their quality and productivity involves:","مویشیوں کے معیار اور پیداواری صلاحیت کو بہتر بنانے کے لیے ان کی افزائش اور دیکھ بھال میں شامل ہیں:","Agriculture","Animal husbandry","Horticulture","Biotechnology","زراعت","حیوانیات پروری","ہورٹیکلچر","بائیو ٹیکنالوجی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","Who improve farming practices:","کون کاشتکاری کے طریقوں کو بہتر بناتے ہیں:","Agricultural scientists","Horticulturists","Biotechnologists","Forensic scientists","زرعی سائنسدان","ہورٹیکلچرسٹ","بائیو ٹیکنالوجسٹ","فارنسک سائنسدان","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","Breeding of cow belongs to:","گائے کی افزائش کا تعلق:","Farming","Animal Husbandry","Fisheries","Forestry","فارمنگ","حیوانیات پروری","فشریز","فوریسٹری","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.3 Careers in Biology","MCQ","Medium","1","The defective parts of body are repaired, replaced and removed by:","جسم کے خراب حصوں کی مرمت، تبدیل اور ہٹائے جاتے ہیں:","Medicine","Surgery","Dentistry","Agriculture","میڈیسن","سرجری","ڈینٹسٹری","زراعت","B","Additional",""
